City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,rundu,-17.9333,19.7667,19.65,34,53,2.61,NA,1715644762
178,belmonte,-15.8631,-38.8828,25.08,81,0,2.47,BR,1715644385
179,arcadia,34.1397,-118.0353,28.62,55,96,2.24,US,1715644659
180,courtenay,49.6866,-124.9936,19.59,46,20,5.14,CA,1715644587
181,saint-pierre,-21.3393,55.4781,21.82,64,0,3.6,RE,1715644392
182,rapid city,44.0805,-103.231,24.85,34,0,5.66,US,1715644500
183,nogliki,51.8333,143.1667,5.96,65,100,4.31,RU,1715644764
184,vila franca do campo,37.7167,-25.4333,16.23,74,21,3.05,PT,1715644764
185,argo,37.6333,22.7333,14.9,89,41,0.87,GR,1715644568
186,broome,42.2506,-75.833,18.17,75,100,3.09,US,1715644764
187,ushuaia,-54.8,-68.3,4.81,75,40,16.46,AR,1715644338
188,seaside,36.6111,-121.8516,17.69,79,75,4.02,US,1715644765
189,sidi ifni,29.3797,-10.173,18.86,92,80,2.54,MA,1715644765
190,masuda,34.6667,131.85,15.15,67,0,2.57,JP,1715644765
191,tamanrasset,22.785,5.5228,22.95,10,0,2.06,DZ,1715644387
192,boca suno,-0.7167,-77.1333,22.76,99,100,0.9,EC,1715644766
193,itaituba,-4.2761,-55.9836,24.31,99,75,0.85,BR,1715644766
194,ariquemes,-9.9133,-63.0408,24.48,96,89,0.43,BR,1715644766
195,kelso,46.1468,-122.9084,22.98,62,75,6.69,US,1715644767
196,haiku-pauwela,20.9219,-156.3051,27.9,74,40,8.23,US,1715644543
197,kothi,24.75,80.7833,30.87,27,16,2.31,IN,1715644767
198,sosnovo-ozerskoye,52.5249,111.5418,7.54,28,2,3.41,RU,1715644767
199,nadym,65.5333,72.5167,-2.24,92,98,8.06,RU,1715644768
200,along,28.1667,94.7667,18.71,95,100,0.33,IN,1715644768
201,mareeba,-17.0,145.4333,24.16,66,49,3.71,AU,1715644768
202,jincheng,35.5022,112.8328,22.95,36,0,1.42,CN,1715644768
